Gene name,Strand,RefSeq mRNA ID,NCBI gene (formerly Entrezgene) ID
SCFD1,1,NM_182835,23256
SCFD1,1,NM_016106,23256
SCFD1,1,NM_001283031,23256
SCFD1,1,NM_001283033,23256
SCFD1,1,NM_001257376,23256
ALDOA,1,,226
ALDOA,1,NM_184043,226
ALDOA,1,NM_001127617,226
ALDOA,1,NM_001243177,226
ALDOA,1,NM_184041,226
ARPC1B,1,,10095
ARPC1B,1,NM_005720,10095
LINC02415,-1,,107161159
RHOF,-1,NM_019034,54509
RHOF,-1,,54509
MTMR1,1,,8776
MTMR1,1,NM_001353992,8776
MTMR1,1,NM_001353991,8776
MTMR1,1,NM_001353994,8776
MTMR1,1,NM_001353993,8776
MTMR1,1,NM_001353990,8776
MTMR1,1,NM_003828,8776
MTMR1,1,NM_001353995,8776
MTMR1,1,NM_001353996,8776
MTMR1,1,NM_001306145,8776
MTMR1,1,NM_001306144,8776
,1,,101929066
DMBT1,1,,1755
DMBT1,1,NM_001377530,1755
DMBT1,1,NM_017579,1755
DMBT1,1,NM_007329,1755
DMBT1,1,NM_001320644,1755
DMBT1,1,NM_004406,1755
MTND4LP26,-1,,
BBC3,-1,,27113
BBC3,-1,NM_001127240,27113
BBC3,-1,NM_001127242,27113
BBC3,-1,NM_001127241,27113
BBC3,-1,NM_014417,27113
XRCC6P4,-1,,
LINC02373,1,,
SRPK2P,-1,,
MRPL2,-1,NM_015950,51069
MRPL2,-1,,51069
MRPL2,-1,NM_001300848,51069
KRT7-AS,-1,,109729127
ZNF346-IT1,1,,
TTPA,-1,,7274
TTPA,-1,NM_000370,7274
ARL2BPP6,1,,
LINC00944,-1,,
WDR38,1,NM_001045476,401551
WDR38,1,NM_001276374,401551
WDR38,1,NM_001276375,401551
WDR38,1,NM_001276376,401551
TRIM7,-1,NM_203293,81786
TRIM7,-1,,81786
TRIM7,-1,NM_203297,81786
TRIM7,-1,NM_203295,81786
TRIM7,-1,NM_033342,81786
TRIM7,-1,NM_203294,81786
TRIM7,-1,NM_203296,81786
TARDBPP4,-1,,
YTHDF3-DT,-1,,101410533
YTHDF3,1,NM_001277816,253943
YTHDF3,1,NM_001277815,253943
YTHDF3,1,NM_001277817,253943
YTHDF3,1,,253943
YTHDF3,1,NM_152758,253943
YTHDF3,1,NM_001277813,253943
YTHDF3,1,NM_001277818,253943
YTHDF3,1,NM_001277814,253943
KLF2,1,NM_016270,10365
KLF2,1,,10365
TUBGCP4,1,,27229
TUBGCP4,1,NM_001286414,27229
TUBGCP4,1,NM_014444,27229
CFAP77,1,,389799
CFAP77,1,NM_207417,389799
CFAP77,1,NM_001282957,389799
MORN3,-1,NM_001363685,283385
MORN3,-1,NM_173855,283385
MORN3,-1,,283385
NUP62,-1,NM_001193357,23636
NUP62,-1,NM_012346,23636
NUP62,-1,NM_153718,23636
NUP62,-1,NM_016553,23636
NUP62,-1,NM_153719,23636
NUP62,-1,,23636
H3P4,-1,,
FLG-AS1,1,,339400
KLC4-AS1,-1,,
LCN1,1,,3933
LCN1,1,NM_002297,3933
LCN1,1,NM_001252617,3933
LCN1,1,NM_001252618,3933
LCN1,1,NM_001252619,3933
PTK7,1,,5754
PTK7,1,NM_002821,5754
PTK7,1,NM_152880,5754
PTK7,1,NM_152881,5754
PTK7,1,NM_152882,5754
PTK7,1,NM_001270398,5754
CHPT1,1,,56994
CHPT1,1,NM_020244,56994
RPS21P2,-1,,
SPRR2F,-1,NM_001382255,6705
SPRR2F,-1,NM_001014450,6705
SH2D6,1,NM_201594,284948
SH2D6,1,,284948
GPR21,1,NM_005294,2844
FRRS1L,-1,NM_014334,23732
FRRS1L,-1,,23732
KLHL6,-1,NM_130446,89857
KLHL6,-1,,89857
MTND5P9,-1,,
MFAP3L,-1,NM_001301647,9848
MFAP3L,-1,NM_001009554,9848
MFAP3L,-1,NM_001301648,9848
MFAP3L,-1,NM_021647,9848
MFAP3L,-1,,9848
MFAP3L,-1,NM_001301647,101928198
MFAP3L,-1,NM_001009554,101928198
MFAP3L,-1,NM_001301648,101928198
MFAP3L,-1,NM_021647,101928198
MFAP3L,-1,,101928198
OBP2A,1,,29991
OBP2A,1,NM_001293189,29991
OBP2A,1,NM_001293193,29991
OBP2A,1,NM_014582,29991
NIPA2P2,1,,
RN7SL135P,-1,,
LINC01944,-1,,
PDE4DIP,1,NM_022359,9659
PDE4DIP,1,,9659
PDE4DIP,1,NM_001377392,9659
PDE4DIP,1,NM_001350521,9659
PDE4DIP,1,NM_001350522,9659
PDE4DIP,1,NM_001377393,9659
PDE4DIP,1,NM_001198832,9659
PDE4DIP,1,NM_001350523,9659
PDE4DIP,1,NM_001198834,9659
PDE4DIP,1,NM_014644,9659
PDE4DIP,1,NM_001350520,9659
PDE4DIP,1,NM_001195260,9659
PDE4DIP,1,NM_001002810,9659
PDE4DIP,1,NM_001002812,9659
PDE4DIP,1,NM_001002811,9659
PDE4DIP,1,NM_001195261,9659
PI15,1,,51050
PI15,1,NM_001324403,51050
PI15,1,NM_015886,51050
TRAPPC2,-1,NM_014563,6399
TRAPPC2,-1,NM_001011658,6399
TRAPPC2,-1,NM_001128835,6399
TRAPPC2,-1,,6399
LINC02436,1,,101928877
SAPCD2P3,1,,
RPL35P5,-1,,
LINC01209,-1,,101928684
RPL29P14,-1,,
ATP6V0E1P2,-1,,
LINC01840,-1,,100874079
RPL17P37,-1,,
SLC36A1,1,,206358
SLC36A1,1,NM_001308151,206358
SLC36A1,1,NM_001349740,206358
SLC36A1,1,NM_078483,206358
SLC36A1,1,NM_001308150,206358
ACAP2,-1,NM_012287,23527
ACAP2,-1,,23527
GPR107,1,NM_001136557,57720
GPR107,1,NM_020960,57720
GPR107,1,NM_001287346,57720
GPR107,1,,57720
GPR107,1,NM_001136558,57720
,-1,,105369921
PPP1R14D,-1,NM_017726,54866
PPP1R14D,-1,NM_001130143,54866
GTF2IRD1P1,-1,,729156
LINC02393,1,,400087
LINC02478,-1,,100505984
LINC02398,1,,
LRRC57P1,1,,
ARHGDIB,-1,NM_001175,397
ARHGDIB,-1,NM_001321421,397
ARHGDIB,-1,,397
ARHGDIB,-1,NM_001321422,397
ARHGDIB,-1,NM_001321423,397
ARHGDIB,-1,NM_001321420,397
MGAT5,1,,4249
MGAT5,1,NM_001371457,4249
MGAT5,1,NM_002410,4249
GDAP1,1,,54332
GDAP1,1,NM_001362932,54332
GDAP1,1,NM_001362929,54332
GDAP1,1,NM_001362930,54332
GDAP1,1,NM_018972,54332
GDAP1,1,NM_001362931,54332
GDAP1,1,NM_001040875,54332
RPP25,-1,NM_017793,54913
GTF2IP23,1,,
VPS33B,-1,NM_018668,26276
VPS33B,-1,,26276
VPS33B,-1,NM_001289148,26276
VPS33B,-1,NM_001289149,26276
RNU6-1254P,1,,
LINC02604,1,,
GIMAP2,1,,26157
GIMAP2,1,NM_015660,26157
GIMAP1,1,,170575
GIMAP1,1,NM_130759,170575
RNF121,1,,55298
RNF121,1,NM_001300926,55298
RNF121,1,NM_018320,55298
GIMAP1-GIMAP5,1,NM_001199577,100527949
GIMAP1-GIMAP5,1,NM_001303630,100527949
GIMAP3P,-1,,
BET1P1,1,,
TMEM176B,-1,,28959
TMEM176B,-1,NM_014020,28959
TMEM176B,-1,NM_001101312,28959
TMEM176B,-1,NM_001362692,28959
TMEM176B,-1,NM_001101311,28959
TMEM176B,-1,NM_001362691,28959
TMEM176B,-1,NM_001101314,28959
SDCBPP3,-1,,
RPL32P36,1,,
RPS2P55,-1,,
KLHL2,1,NM_007246,11275
KLHL2,1,,11275
KLHL2,1,NM_001161521,11275
KLHL2,1,NM_001331024,11275
KLHL2,1,NM_001331023,11275
KLHL2,1,NM_001161522,11275
NEFL,-1,NM_006158,4747
NEFL,-1,,4747
CLIC4P3,1,,
USP9X,1,NM_001039590,8239
USP9X,1,NM_001039591,8239
USP9X,1,,8239
MIR6841,-1,,102465506
MTCO3P17,1,,
CDK7P1,-1,,
RN7SKP206,1,,
MEAF6P1,1,,
SERPINA11,-1,NM_001080451,256394
MIR3686,-1,,100500839
FAR2P2,-1,,
TBX3,-1,NM_005996,6926
TBX3,-1,NM_016569,6926
TBX3,-1,,6926
SERPINA9,-1,NM_001284275,327657
SERPINA9,-1,NM_001042518,327657
SERPINA9,-1,NM_001284276,327657
SERPINA9,-1,NM_175739,327657
SERPINA9,-1,,327657
LINC00886,-1,,730091
HNRNPA1P24,1,,
CCDC26,-1,,137196
CCDC26,-1,,728724
CCDC26,-1,,106144608
TRA2B,-1,NM_004593,6434
TRA2B,-1,,6434
TRA2B,-1,NM_001243879,6434
WDR18,1,NM_001372085,57418
WDR18,1,NM_001372086,57418
WDR18,1,NM_024100,57418
WDR18,1,,57418
INSIG2,1,,51141
INSIG2,1,NM_016133,51141
INSIG2,1,NM_001321331,51141
INSIG2,1,NM_001321333,51141
INSIG2,1,NM_001321330,51141
INSIG2,1,NM_001321329,51141
INSIG2,1,NM_001321332,51141
MRPS34,-1,NM_001300900,65993
MRPS34,-1,NM_023936,65993
MRPS34,-1,,65993
OR7A19P,1,,
SVOP,-1,NM_018711,55530
SVOP,-1,,55530
DRD1,-1,NM_000794,1812
TMEM176A,1,,55365
TMEM176A,1,NM_018487,55365
ZNF354A,-1,NM_001324339,6940
ZNF354A,-1,NM_005649,6940
ZNF354A,-1,,6940
SPSB3,-1,NM_080861,90864
SPSB3,-1,,90864
SPSB3,-1,NM_001324081,90864
ARPP19P2,1,,
RPL21P34,1,,
IL18BP,1,NM_005699,10068
IL18BP,1,NM_001039659,10068
IL18BP,1,,10068
IL18BP,1,NM_001039660,10068
IL18BP,1,NM_173044,10068
IL18BP,1,NM_173042,10068
IL18BP,1,NM_001145057,10068
IL18BP,1,NM_001145055,10068
SERPINA12,-1,NM_001304461,145264
SERPINA12,-1,NM_001382267,145264
SERPINA12,-1,NM_173850,145264
TMPRSS12,1,,283471
TMPRSS12,1,NM_182559,283471
ARPP19P1,1,,
IFT74,1,,80173
IFT74,1,NM_001099223,80173
IFT74,1,NM_001099222,80173
IFT74,1,NM_001349928,80173
IFT74,1,NM_025103,80173
IFT74,1,NM_001099224,80173
SLC4A5,-1,,57835
SLC4A5,-1,NM_133478,57835
SLC4A5,-1,NM_001386136,57835
SLC4A5,-1,NM_021196,57835
,-1,,100268168
SLC25A4,1,NM_001151,291
SLC25A4,1,,291
PRDX3P4,1,,
PARP2,1,NM_001042618,10038
PARP2,1,NM_005484,10038
PARP2,1,,10038
METTL15P1,-1,,
ADAMTS9,-1,NM_182920,56999
ADAMTS9,-1,,56999
ADAMTS9,-1,NM_001318781,56999
MAT2B,1,NM_182796,27430
MAT2B,1,,27430
MAT2B,1,NM_013283,27430
MAGT1,-1,NM_001367916,84061
MAGT1,-1,NM_032121,84061
MAGT1,-1,,84061
LSM6,1,NM_007080,11157
LSM6,1,,11157
NPAP1,1,NM_018958,23742
CAPZA2,1,,830
CAPZA2,1,NM_006136,830
VPS13C,-1,NM_020821,54832
VPS13C,-1,NM_017684,54832
VPS13C,-1,,54832
VPS13C,-1,NM_001018088,54832
VPS13C,-1,NM_018080,54832
MIR7112,-1,,102465906
SCX,1,NM_001080514,642658
REELD1,1,NM_001354631,345051
REELD1,1,NM_001371071,345051
REELD1,1,,345051
TOMM22P4,1,,
UFSP2,-1,,55325
UFSP2,-1,NM_018359,55325
TRMT2B-AS1,-1,,
TMEM35A,1,NM_021637,59353
TMEM35A,1,,59353
CENPI,1,,2491
CENPI,1,NM_001318521,2491
CENPI,1,NM_001386188,2491
CENPI,1,NM_001318523,2491
CENPI,1,NM_006733,2491
SULT6B2P,-1,,
RPS11P5,1,,
NUBP2,1,,10101
NUBP2,1,NM_012225,10101
NUBP2,1,NM_001284501,10101
NUBP2,1,NM_001284502,10101
KCNA1,1,NM_000217,3736
KCNA1,1,,3736
YWHAQP8,-1,,
ANHX,-1,NM_001191054,647589
ANHX,-1,NM_001372060,647589
ANHX,-1,,647589
LINC01933,1,,101927115
HAUS7,-1,NM_001385483,55559
HAUS7,-1,NM_001385482,55559
HAUS7,-1,NM_001385481,55559
HAUS7,-1,,55559
UIMC1,-1,NM_016290,51720
UIMC1,-1,NM_001317961,51720
UIMC1,-1,NM_001199297,51720
UIMC1,-1,NM_001199298,51720
UIMC1,-1,,51720
CASC18,1,,101929110
RFLNA,1,NM_001204299,144347
RFLNA,1,NM_001347902,144347
RFLNA,1,,144347
RFLNA,1,NM_181709,144347
RFLNA,1,NM_001365156,144347
RFLNA,1,NM_001204299,100533183
RFLNA,1,NM_001347902,100533183
RFLNA,1,,100533183
RFLNA,1,NM_181709,100533183
RFLNA,1,NM_001365156,100533183
OPA3,-1,NM_001017989,80207
OPA3,-1,NM_025136,80207
OPA3,-1,,80207
LINC02411,-1,,101927637
DUX4L5,1,,
AKIRIN2P1,1,,
MAP2K2,-1,NM_030662,5605
MAP2K2,-1,,5605
ZDHHC21,-1,NM_001354127,340481
ZDHHC21,-1,NM_001354126,340481
ZDHHC21,-1,NM_178566,340481
ZDHHC21,-1,NM_001354122,340481
ZDHHC21,-1,NM_001354121,340481
ZDHHC21,-1,NM_001354129,340481
ZDHHC21,-1,NM_001354119,340481
ZDHHC21,-1,NM_001354130,340481
ZDHHC21,-1,NM_001354125,340481
ZDHHC21,-1,NM_001354124,340481
ZDHHC21,-1,NM_001354128,340481
ZDHHC21,-1,NM_001354123,340481
ZDHHC21,-1,NM_001354120,340481
ZDHHC21,-1,NM_001354118,340481
ZDHHC21,-1,,340481
LINC02514,1,,105377602
LINC02430,-1,,107986319
FBXW7-AS1,1,,102191832
AGA,-1,NM_001171988,175
AGA,-1,NM_000027,175
AGA,-1,,175
NUMA1,-1,,4926
NUMA1,-1,NM_001286561,4926
NUMA1,-1,NM_006185,4926
VSIG10,-1,NM_019086,54621
VSIG10,-1,,54621
STXBP1,1,,6812
STXBP1,1,NM_001374309,6812
STXBP1,1,NM_003165,6812
STXBP1,1,NM_001374315,6812
STXBP1,1,NM_001374313,6812
STXBP1,1,NM_001374314,6812
STXBP1,1,NM_001374310,6812
STXBP1,1,NM_001374312,6812
STXBP1,1,NM_001374311,6812
STXBP1,1,NM_001032221,6812
STXBP1,1,NM_001374306,6812
STXBP1,1,NM_001374308,6812
STXBP1,1,NM_001374307,6812
DGLUCY,1,,80017
DGLUCY,1,NM_001102369,80017
DGLUCY,1,NM_001358312,80017
DGLUCY,1,NM_001358310,80017
DGLUCY,1,NM_001102368,80017
DGLUCY,1,NM_001286472,80017
DGLUCY,1,NM_001286473,80017
DGLUCY,1,NM_001286470,80017
DGLUCY,1,NM_001102366,80017
DGLUCY,1,NM_024952,80017
DGLUCY,1,NM_001102367,80017
DGLUCY,1,NM_001358311,80017
DGLUCY,1,NM_001286471,80017
PABIR3,1,NM_001388444,159091
PABIR3,1,NM_001365743,159091
PABIR3,1,NM_001388445,159091
PABIR3,1,NM_001170780,159091
PABIR3,1,NM_001388442,159091
PABIR3,1,NM_001388441,159091
PABIR3,1,NM_001388443,159091
PABIR3,1,,159091
PABIR3,1,NM_001388448,159091
PABIR3,1,NM_001388447,159091
PABIR3,1,NM_001365745,159091
PABIR3,1,NM_001170783,159091
PABIR3,1,NM_001170784,159091
PABIR3,1,NM_001170782,159091
PABIR3,1,NM_001388446,159091
PABIR3,1,NM_001365744,159091
PABIR3,1,NM_001365747,159091
PABIR3,1,NM_001388449,159091
PABIR3,1,NM_138819,159091
PABIR3,1,NM_001170781,159091
PABIR3,1,NM_001365746,159091
PABIR3,1,NM_001365748,159091
PABIR3,1,NM_001170779,159091
PABIR3,1,NM_001388440,159091
SYCP3,-1,,50511
SYCP3,-1,NM_001177948,50511
SYCP3,-1,NM_153694,50511
SYCP3,-1,NM_001177949,50511
NSA2P6,-1,,
,1,,102724776
RNA5SP239,-1,,
ST7-AS1,-1,,93653
SYNPO,1,NM_001166208,11346
SYNPO,1,NM_001166209,11346
SYNPO,1,,11346
SYNPO,1,NM_007286,11346
SYNPO,1,NM_001109974,11346
ST7-OT4,1,,338069
CALR3,-1,NM_145046,125972
CALR3,-1,,125972
FGFR4,1,NM_213647,2264
FGFR4,1,NM_002011,2264
FGFR4,1,NM_001354984,2264
FGFR4,1,,2264
FGFR4,1,NM_001291980,2264
FGFR4,1,NM_022963,2264
TPM3P1,-1,,
RPS14P7,1,,
MIR6132,1,,102466616
ST7-AS2,-1,,93654
OTUD4,-1,,54726
OTUD4,-1,NM_001102653,54726
OTUD4,-1,NM_001366057,54726
OTUD4,-1,NM_001366058,54726
OTUD4,-1,NM_017493,54726
IGFALS,-1,NM_004970,3483
IGFALS,-1,NM_001146006,3483
IGFALS,-1,,3483
IFNL2,1,NM_172138,282616
PCNPP3,-1,,
HAGH,-1,,3029
HAGH,-1,NM_005326,3029
HAGH,-1,NM_001363912,3029
HAGH,-1,NM_001286249,3029
HAGH,-1,NM_001040427,3029
HAGH,-1,NM_001363914,3029
MTND4P6,1,,
B3GNT5,1,NM_032047,84002
B3GNT5,1,,84002
MTCYBP6,-1,,
AQP6,1,,363
AQP6,1,NM_001652,363
ZNF547,1,,284306
ZNF547,1,NM_173631,284306
RN7SL771P,1,,
ADCK2,1,NM_052853,90956
ADCK2,1,,90956
NDUFA11,-1,NM_001193375,126328
NDUFA11,-1,,126328
NDUFA11,-1,NM_175614,126328
SAT1,1,,6303
SAT1,1,NM_002970,6303
SRF,1,NM_003131,6722
SRF,1,NM_001292001,6722
UTS2B,-1,NM_198152,257313
UTS2B,-1,,257313
NR2C2AP,-1,NM_001300945,126382
NR2C2AP,-1,NM_176880,126382
NR2C2AP,-1,,126382
KMT5A,1,NM_020382,387893
KMT5A,1,NM_001324504,387893
KMT5A,1,,387893
KMT5A,1,NM_001324505,387893
KMT5A,1,NM_001367389,387893
KMT5A,1,NM_001367386,387893
KMT5A,1,NM_001367388,387893
KMT5A,1,NM_001324506,387893
CUL9,1,,23113
CUL9,1,NM_015089,23113
NDUFB2,1,,4708
NDUFB2,1,NM_004546,4708
ENOX2,-1,NM_001382522,10495
ENOX2,-1,NM_006375,10495
ENOX2,-1,NM_001382518,10495
ENOX2,-1,NM_001382521,10495
ENOX2,-1,NM_001281736,10495
ENOX2,-1,,10495
ENOX2,-1,NM_001382520,10495
ENOX2,-1,NM_001382517,10495
ENOX2,-1,NM_001382519,10495
ENOX2,-1,NM_182314,10495
ENOX2,-1,NM_001382516,10495
CARM1,1,NM_199141,10498
CARM1,1,,10498
CARM1,1,NM_001370088,10498
CARM1,1,NM_001370089,10498
DDX50P2,-1,,
TRAK1,1,,22906
TRAK1,1,NM_001349245,22906
TRAK1,1,NM_001349249,22906
TRAK1,1,NM_001349248,22906
TRAK1,1,NM_001349247,22906
TRAK1,1,NM_001042646,22906
TRAK1,1,NM_001349246,22906
TRAK1,1,NM_001265608,22906
TRAK1,1,NM_001265610,22906
TRAK1,1,NM_014965,22906
TRAK1,1,NM_001265609,22906
NT5DC3,-1,,51559
NT5DC3,-1,NM_001031701,51559
NDUFB2-AS1,-1,,100134713
LINC01089,-1,,338799
BRAF,-1,NM_001378470,673
BRAF,-1,NM_001378475,673
BRAF,-1,NM_001378471,673
BRAF,-1,NM_001378468,673
BRAF,-1,NM_001354609,673
BRAF,-1,NM_001378467,673
BRAF,-1,NM_001378472,673
BRAF,-1,NM_001374258,673
BRAF,-1,,673
BRAF,-1,NM_001378474,673
BRAF,-1,NM_001378469,673
BRAF,-1,NM_004333,673
BRAF,-1,NM_001378473,673
BRAF,-1,NM_001374244,673
PHBP14,1,,
GUSBP5,1,,441046
DNAJB14,-1,NM_001278310,79982
DNAJB14,-1,NM_001031723,79982
DNAJB14,-1,,79982
DNAJB14,-1,NM_001278311,79982
TSC22D3,-1,NM_001015881,1831
TSC22D3,-1,NM_004089,1831
TSC22D3,-1,NM_001318468,1831
TSC22D3,-1,NM_198057,1831
TSC22D3,-1,NM_001318470,1831
TSC22D3,-1,,1831
EMC10,1,,284361
EMC10,1,NM_175063,284361
EMC10,1,NM_206538,284361
FAHD1,1,NM_031208,81889
FAHD1,1,NM_001018104,81889
FAHD1,1,NM_001142398,81889
FAHD1,1,,81889
MTSS2,-1,NM_138383,92154
MTSS2,-1,,92154
RPL6P5,1,,
MAGEB1,1,NM_002363,4112
MAGEB1,1,NM_177415,4112
MAGEB1,1,NM_177404,4112
C2orf80,-1,,389073
C2orf80,-1,NM_001099334,389073
OR13H1,1,NM_001004486,347468
DNPH1,-1,NM_006443,10591
DNPH1,-1,,10591
DNPH1,-1,NM_199184,10591
SPACA5B,1,NM_001079900,729201
PRX,-1,,57716
PRX,-1,NM_020956,57716
PRX,-1,NM_181882,57716
PDGFC,-1,NM_016205,56034
PDGFC,-1,,56034
STARD8,1,,9754
STARD8,1,NM_001142503,9754
STARD8,1,NM_001142504,9754
STARD8,1,NM_014725,9754
TTBK1,1,NM_032538,84630
TTBK1,1,,84630
LINC02375,-1,,101927616
VAC14,-1,,55697
VAC14,-1,NM_001351157,55697
VAC14,-1,NM_018052,55697
PCED1B-AS1,-1,,100233209
IZUMO1,-1,,284359
IZUMO1,-1,NM_182575,284359
IZUMO1,-1,NM_001321864,284359
IZUMO1,-1,NM_001321865,284359
ACTR1B,-1,NM_005735,10120
ACTR1B,-1,,10120
KRT7,1,,3855
KRT7,1,NM_005556,3855
MIR4282,-1,,100423005
KNOP1P4,1,,
PGAM1P10,1,,
PRSS48,1,NM_183375,345062
PRSS48,1,NM_001353611,345062
PRSS48,1,,345062
MAGEB3,1,NM_002365,4114
MAGEB3,1,NM_001386865,4114
MAGEB3,1,,4114
KCNQ5-AS1,-1,,100873997
RBPMS2P1,-1,,
CDX4,1,NM_005193,1046
CXorf49B,1,NM_001145139,100132994
CXorf49B,1,,100132994
KHDC1P1,-1,,
KHDC1L,-1,NM_001126063,100129128
KHDC1L,-1,,100129128
GCNA,1,NM_052957,93953
GCNA,1,,93953
KHDC1,-1,NM_030568,80759
KHDC1,-1,NM_001251874,80759
KHDC1,-1,,80759
FGF21,1,NM_019113,26291
FGF21,1,,26291
ANAPC10,-1,,10393
ANAPC10,-1,NM_014885,10393
ANAPC10,-1,NM_001256706,10393
ANAPC10,-1,NM_001318367,10393
ANAPC10,-1,NM_001256707,10393
ANAPC10,-1,NM_001256709,10393
ANAPC10,-1,NM_001256710,10393
ANAPC10,-1,NM_001256711,10393
ANAPC10,-1,NM_001256712,10393
ANAPC10,-1,NM_001256708,10393
RNU6-317P,-1,,
BCAT2,-1,NM_001164773,587
BCAT2,-1,NM_001190,587
BCAT2,-1,NM_001284325,587
BCAT2,-1,,587
SIL1,-1,NM_022464,64374
SIL1,-1,NM_001037633,64374
SIL1,-1,,64374
GAGE12E,1,NM_001098418,729431
TRIM43CP,-1,,
RPSAP41,1,,
EIF3EP1,1,,
FARSB,-1,NM_005687,10056
FARSB,-1,,10056
SDCBP2P1,1,,
PAICSP3,1,,
DPPA5,-1,NM_001025290,340168
VAC14-AS1,1,,100130894
HSPE1P20,1,,
MARK3P1,-1,,
KHDC3L,1,NM_001017361,154288
RNU6ATAC25P,1,,
GOLGA3,-1,,2802
GOLGA3,-1,NM_005895,2802
GOLGA3,-1,NM_001172557,2802
OPN1MW2,1,NM_001048181,728458
OPN1MW2,1,,728458
OOEP-AS1,1,,
RPL39P3,-1,,
RPS6P8,-1,,
DDX43,1,NM_018665,55510
DDX43,1,,55510
TEKT5,-1,,146279
TEKT5,-1,NM_144674,146279
WDR73,-1,NM_032856,84942
WDR73,-1,,84942
MTCYBP33,-1,,
MTND6P33,1,,
MTND5P33,-1,,
MTND4P34,-1,,
MTND4LP24,-1,,
CXCR1,-1,NM_000634,3577
MAGEA9B,-1,NM_001080790,728269
MAGEA9B,-1,,728269
MTND3P13,-1,,
MTCO3P24,-1,,
MTATP6P24,-1,,
NUBP1,1,,4682
NUBP1,1,NM_002484,4682
NUBP1,1,NM_001323595,4682
NUBP1,1,NM_001323596,4682
NUBP1,1,NM_001323594,4682
NUBP1,1,NM_001323597,4682
NUBP1,1,NM_001278506,4682
JPT1P1,-1,,
FAM236D,-1,NM_001348203,105373251
FAM236D,-1,NM_001348202,105373251
ACTRT1,-1,NM_138289,139741
CXorf49,-1,,100130361
CXorf49,-1,NM_001145140,100130361
MTRNR2L9,1,,
KHDRBS2-OT1,-1,,
KHDRBS2,-1,,202559
KHDRBS2,-1,NM_152688,202559
KHDRBS2,-1,NM_001350622,202559
CTAG1B,-1,NM_001327,1485
CTAG1B,-1,,1485
INPP1,1,NM_002194,3628
INPP1,1,,3628
INPP1,1,NM_001128928,3628
ABTB1,1,,80325
ABTB1,1,NM_172027,80325
ABTB1,1,NM_032548,80325
MYOT,1,NM_006790,9499
MYOT,1,NM_001135940,9499
MYOT,1,,9499
MYOT,1,NM_001300911,9499
CTAG2,-1,NM_020994,30848
CTAG2,-1,NM_172377,30848
C6orf132,-1,NM_001164446,647024
C6orf132,-1,,647024
GUCA1B,-1,NM_002098,2979
AMOT,-1,NM_133265,154796
AMOT,-1,NM_001113490,154796
AMOT,-1,NM_001386998,154796
AMOT,-1,NM_001386999,154796
AMOT,-1,,154796
MRPS10,-1,NM_018141,55173
CRYBG1,1,NM_001371242,202
CRYBG1,1,NM_001624,202
CRYBG1,1,,202
RNU6-85P,1,,
CCT4P1,-1,,
MRPS33,-1,NM_053035,51650
MRPS33,-1,NM_016071,51650
MRPS33,-1,,51650
LINC01574,1,,102577424
CARMN,1,,
CUL2,-1,,8453
CUL2,-1,NM_001324375,8453
CUL2,-1,NM_003591,8453
CUL2,-1,NM_001198777,8453
CUL2,-1,NM_001324376,8453
CUL2,-1,NM_001198778,8453
CUL2,-1,NM_001198779,8453
P2RY4,-1,NM_002565,5030
TVP23A,-1,,780776
TVP23A,-1,NM_001079512,780776
TVP23A,-1,NM_001318873,780776
MAP3K15,-1,,389840
MAP3K15,-1,NM_001001671,389840
RNA5SP211,1,,
,-1,,105377924
RTN4IP1,-1,NM_001318746,84816
RTN4IP1,-1,NM_032730,84816
RTN4IP1,-1,,84816
RPL32P10,-1,,
LINC01991,-1,,
GOLIM4,-1,NM_014498,27333
GOLIM4,-1,NM_001308155,27333
GOLIM4,-1,,27333
ZBTB8OSP1,1,,
RXFP1,1,NM_001363776,59350
RXFP1,1,,59350
RXFP1,1,NM_021634,59350
RXFP1,1,NM_001253729,59350
RXFP1,1,NM_001253728,59350
RXFP1,1,NM_001253730,59350
RXFP1,1,NM_001253727,59350
RXFP1,1,NM_001253732,59350
RXFP1,1,NM_001253733,59350
EEF1GP2,1,,
CNOT6,1,NM_001370472,57472
CNOT6,1,NM_001370473,57472
CNOT6,1,NM_001370474,57472
CNOT6,1,,57472
RNU6-527P,1,,
QRSL1,1,NM_018292,55278
QRSL1,1,,55278
CHST14,1,NM_130468,113189
CHST14,1,,113189
MTATP6P5,-1,,
NEMP2,-1,NM_001142645,100131211
NEMP2,-1,,100131211
RPL21P65,1,,
LINC02526,1,,
LINC02532,-1,,100422737
HSD17B14,-1,,51171
HSD17B14,-1,NM_016246,51171
CPA2,1,NM_001869,1358
CPA2,1,,1358
FAM156A,-1,,29057
FAM156A,-1,NM_001387706,29057
FAM156A,-1,NM_001242491,29057
FAM156A,-1,NM_001377063,29057
FAM156A,-1,NM_001377062,29057
FAM156A,-1,NM_001377061,29057
FAM156A,-1,NM_001242493,29057
FAM156A,-1,NM_001242496,29057
FAM156A,-1,NM_001242490,29057
FAM156A,-1,NM_001242497,29057
FAM156A,-1,NM_001242495,29057
FAM156A,-1,NM_001377060,29057
FAM156A,-1,NM_014138,29057
FAM156A,-1,NM_001242489,29057
FAM156A,-1,NM_001242494,29057
FAM156A,-1,NM_001242492,29057
RAB35,-1,NM_006861,11021
RAB35,-1,,11021
RAB35,-1,NM_001167606,11021
